event_id,tmdb_film_id,title,adult,backdrop_path,budget,homepage,imdb_id,original_title,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,vote_average,vote_count
22725,43936,S21: The Khmer Rouge Death Machine,0,/mcKsU7fR6YfRHIoUxoJWaxgRUva.jpg,,,tt0368954,"S-21, la machine de mort Khmère rouge",Documentary of the S-21 genocide prison in Phnom Penh with interviews of prisoners and guards. On the search for reasons why this could have happened.,0.329786611984693,/pWorTTsxp1gIZn3XdpecYoSNJFl.jpg,10/5/03,,101,Released,,0,0
22726,34029,Feel Like Going Home,0,,,,tt1065622,Feel Like Going Home,"Director Martin Scorsese (The Last Waltz, Raging Bull, Gangs of New York) pays homage to the Delta blues. Musician Corey Harris travels through Mississippi and on to West Africa, exploring the roots of the music. The film celebrates the early Delta bluesmen through original performances (including Willie King, Taj Mahal, Otha Turner, and Ali Farka Toure) and rare archival footage (featuring Son House, Muddy Waters, and John Lee Hooker).",0.329090545008642,/50GbzctKCKerZRxh86AaBXZemHe.jpg,1/1/03,,110,Released,Blues,10,1
22727,103475,The Soul of a Man,0,,,http://www.wim-wenders.com/movies/movies_spec/thesoulofaman/the-soul-of-a-man.htm,tt0368287,The Soul of a Man,"In ""The Soul of A Man,"" director Wim Wenders looks at the dramatic tension in the blues between the sacred and the profane by exploring the music and lives of three of his favorite blues artists: Skip James, Blind Willie Johnson and J. B. Lenoir. Part history, part personal pilgrimage, the film tells the story of these lives in music through an extended fictional film sequence (recreations of '20s and '30s events - shot in silent-film, hand-crank style), rare archival footage, present-day documentary scenes and covers of their songs by contemporary musicians such as Shemekia Copeland, Alvin Youngblood Hart, Garland Jeffreys, Chris Thomas King, Cassandra Wilson, Nick Cave, Los Lobos, Eagle Eye Cherry, Vernon Reid, James ""Blood"" Ulmer, Lou Reed, Bonnie Raitt, Marc Ribot, The Jon Spencer Blues Explosion, Lucinda Williams and T-Bone Burnett.",0.329412856314633,/mOyrbb8yMrN84m9NRukOWWqRE3K.jpg,5/16/03,,103,Released,,9,1
22728,34030,Godfathers and Sons,0,,,,,Godfathers and Sons,"Director Marc Levin (Slam, Whiteboys, Brooklyn Babylon) travels to Chicago with hip-hop legend Chuck D (of Public Enemy) and Marshall Chess (son of Leonard Chess and heir to the Chess Records legacy) to explore the heyday of Chicago blues as they unite to produce an album that seeks to bring veteran blues players together with contemporary hip hop musicians. Along with never-before-seen archival footage of Howlin' Wolf, Muddy Waters and the Paul Butterfield Blues Band, are original performances by Koko Taylor, Otis Rush, Magic Slim, Ike Turner, and Sam Lay.",0.32876948839,/wd7dk64jfkgXXBXsB58RFyEwmU7.jpg,1/1/03,,133,Released,,10,1
22729,112852,The Road to Memphis,0,,,,tt1065626,The Road to Memphis,"Director Richard Pearce (The Long Walk Home, Leap of Faith, A Family Thing) traces the musical odyssey of blues legend B.B. King in a film that pays tribute to the city that gave birth to a new style of blues. Pearce's homage to Memphis features original performances by B.B. King, Bobby Rush, Rosco Gordon and Ike Turner, as well as historical footage of Howlin' Wolf and Rufus Thomas.",0.330895196953075,/4oxZn6GBepFsgYiedf6249UUq3v.jpg,5/5/03,,60,Released,Blues,10,1
22730,64164,"Red, White and Blues",0,,,,tt1065625,"Red, White and Blues","Director Mike Figgis (Stormy Monday, Leaving Las Vegas, Time Code) joins musicians such as Van Morrison, Eric Clapton, Jeff Beck, and Tom Jones, performing and talking about the music of the early sixties British invasion that reintroduced the blues sound to America.",0.328999687147111,/lHuNAehql3UIbUFRfAXi4budhzw.jpg,10/3/03,,,,,0,0
22731,112853,Warming by the Devil's Fire,0,,,,,Warming by the Devil's Fire,"Director Charles Burnett (Killer of Sheep, My Brother's Wedding, To Sleep with Anger) presents a tale about a young boy's encounter with his family in Mississippi in the 1950s, and intergenerational tensions between the heavenly strains of gospel and the devilish moans of the blues.",0.330162181191102,/u8xtMQIWzMaicimEoNyIbpmnBGJ.jpg,1/1/03,,106,Released,Blues,10,1
22732,2972,The Golem: How He Came Into the World,0,/nQf7ItYxdWAyIVfi4KwnWSHdzQp.jpg,,,tt0011237,"Der Golem, wie er in die Welt kam","In 16th-century Prague, a Jewish rabbi creates a giant creature from clay, called the Golem, and using sorcery, brings the creature to life in order to protect the Jews of Prague from persecution.",0.643774355997797,/4bEe5VljUBOirzPbKbpvtMPnKnz.jpg,10/28/1920,,85,Released,,8.3,3
22733,470,21 Grams,0,/j86lvbKigdP2kaVxfGC3i3lp1ea.jpg,20000000,http://www.21-grams.com/index.php,tt0315733,21 Grams,"This is the story of three gentle persons: Paul Rivers an ailing mathematician lovelessly married to an English émigré, Christina Peck, an upper-middle-class suburban housewife, happily married and mother of two little girls, and Jack Jordan, an ex-convict who has found in his Christian faith the strength to raise a family. They will be brought together by a terrible accident that will change their lives. By the final frame, none of them will be the same as they will learn harsh truths about love, faith, courage, desire and guilt, and how chance can change our worlds irretrievably, forever.",3.92577678571453,/Aps7GzrYiJZKHNT524Rsg4jaXej.jpg,11/21/03,60427839,124,Released,How much does life weigh?,6.6,143
22734,14757,Osama,0,/pVLcKLt86jahImCaW3vMkTRvi67.jpg,,,tt0368913,Osama,Teenage girl Osama cuts her hair and dresses like a boy to get a job and support her widowed mother and grandmother. When Osama is called by the Taliban to join school and military training she embarks on a terrifying and confusing journey as she tries to keep the Taliban from finding out her true identity.,0.329069045491243,/qcfz88UlPcy03pLaKkWz29CJtbA.jpg,6/27/03,,83,Released,,6.7,6
