tmdb_film_id,tmdb_person_id,character,,
62,1330790,Ape,,
62,1330791,Ape,,
62,1330792,Ape Attacked by Leopard,,
62,1330793,Ape,,
62,1330794,Ape,,
62,1330795,Ape,,
62,1330796,Ape,,
62,1330797,Ape,,
62,1330798,Ape,,
62,1330799,Ape,,
62,1330800,Ape,,
62,1330801,Ape,,
62,1330802,Ape,,
62,1330803,Ape,,
62,1330804,Ape,,
62,1330805,Ape Killed by Moon-Watcher,,
62,1330806,Interviewer (uncredited),,
62,1330807,Young Man (uncredited),,
62,1330808,(uncredited),,
62,1330809,(uncredited),,
62,1330810,TMA-1 Site Technician #2 (uncredited),,
62,1330811,(uncredited),,
62,1330812,(uncredited),,
62,1330813,BBC-12 Announcer (uncredited),,
62,1330814,(uncredited),,
62,1330815,Russian Scientist (uncredited),,
62,1330816,Russian Scientist (uncredited),,
62,1330817,(uncredited),,
62,1330818,(uncredited),,
62,1330819,(uncredited),,
62,1330820,Miller (uncredited),,
62,1330821,TMA-1 Site Technician #1 (uncredited),,
64,101,Alicia,,
64,398,Lydia,,
64,399,Rosa,,
64,400,Katerina Bilova,,
64,402,Bailarine,,
64,1602,Alfredo,,
64,1610,Benigno,,
64,2759,Matilde,,
64,3482,Concierge,,
64,3618,Marco,,
64,3619,Bailarine,,
64,3620,Singer at Party,,
64,3621,Doctor,,
64,3623,Ángela,,
64,3624,Niño de Valencia,,
64,3625,Lydia's Sister,,
64,3626,Alicia's Father,,
64,3627,Amparo,,
67,762,Khaled,,
67,764,Jamal,,
67,765,Said's mother,,
67,766,Abu Karem,,
67,791,Abu Salim,,
67,25087,Said,,
67,77498,Suha,,
68,65,Mr. M. Kurtzmann,,
68,280,Smoking Man (uncredited),,
68,374,Harvey Lime,,
68,378,Sam Lowry,,
68,380,Archibald 'Harry' Tuttle,,
68,381,Mrs. Ida Lowry,,
68,382,Spoor,,
68,383,Jack Lint,,
68,385,Mr. Warrenn,,
68,386,Mr. Helpmann,,
68,387,Jill Layton,,
68,388,Dr. Jaffe,,
68,14325,Dowser,,
68,22171,Spiro,,
68,97167,Mrs. Alma Terrain,,
68,177594,Shirley,,
69,368,June Carter,,
69,417,Vivian,,
69,418,Ray Cash,,
69,419,Elvis Presley,,
69,420,Roy Orbison,,
69,421,Waylon Jennings,,
69,422,Jerry Lee Lewis,,
69,424,Sam Phillips,,
69,425,Luther Perkins,,
69,426,Marshall Grant,,
69,427,Maybelle Carter,,
69,428,Ezra Carter,,
69,429,Young Johnny Cash,,
69,430,Rosanne Cash,,
69,431,Carlene Carter,,
69,73421,Johnny Cash,,
76,569,Jesse,,
76,571,Wife on Train,,
76,572,Husband on Train,,
76,573,Guy on Bridge,,
76,574,Guy on Bridge,,
76,1146,Céline,,
76,3722,Cafe Patron,,
76,3727,Cafe Patron,,
76,3735,Street Poet,,
76,3736,Belly Dancer,,
76,3737,Guitar Player in Club,,
76,3738,Bartender,,
76,3739,Percussionist,,
76,146859,Palm Reader,,
76,1265413,Cafe Patron,,
76,1265414,Cafe Patron,,
76,1265415,Cafe Patron,,
76,1265416,Cafe Patron,,
76,1265417,Cafe Patron,,
76,1265418,Cafe Patron,,
76,1265419,Cafe Patron,,
76,1265420,Cafe Patron,,
76,1265421,Cafe Patron,,
76,1265422,Cafe Patron,,
76,1265423,Musician on Boat,,
76,1265424,Musician on Boat,,
76,1265425,Harpsichord Player,,
77,529,Leonard,,
77,530,Natalie,,
77,532,Teddy Gammell,,
77,534,Burt,,
77,535,Waiter,,
77,536,Leonard's Wife,,
77,537,Sammy,,
77,538,Mrs. Jankis,,
77,539,Doctor,,
77,540,Dodd,,
77,542,Blonde,,
77,543,Tattooist,,
77,544,Jimmy,,
78,3,Rick Deckard,,
78,585,Roy Batty,,
78,586,Rachael,,
78,587,Gaff,,
78,588,Bryant,,
78,589,Pris,,
78,590,J.F. Sebastian,,
78,591,Leon Kowalski,,
78,592,Eldon Tyrell,,
78,593,Zhora,,
78,20904,Hannibal Chew,,
78,53760,Bear,,
78,58495,Holden,,
78,107074,Taffey Lewis,,
78,943481,Kaiser,,
78,949610,Saleslady,,
78,951333,Cambodian Lady,,
78,1221198,Howie Lee,,
78,3,Rick Deckard,,
78,585,Roy Batty,,
78,586,Rachael,,
78,587,Gaff,,
78,588,Bryant,,
78,589,Pris,,
78,590,J.F. Sebastian,,
78,591,Leon Kowalski,,
78,592,Eldon Tyrell,,
78,593,Zhora,,
78,20904,Hannibal Chew,,
78,53760,Bear,,
78,58495,Holden,,
78,107074,Taffey Lewis,,
78,943481,Kaiser,,
78,949610,Saleslady,,
78,951333,Cambodian Lady,,
78,1221198,Howie Lee,,
79,1336,Nameless,,
79,1337,Broken Sword,,
79,1338,Flying Snow,,
79,1339,Moon,,
79,1340,King of Qin,,
79,1341,Sky,,
79,1342,Scholar,,
79,1343,Old Servant,,
79,1344,Prime Minister,,
79,1345,General,,
80,569,Jesse,,
80,649,Bookstore Manager,,
80,651,Journalist #1,,
80,657,Waitress,,
80,1146,Céline,,
80,3728,Philippe,,
80,3729,Boat Attendant,,
80,3730,Man at Grill,,
80,3731,Woman in Courtyard,,
80,1275639,Journalist #2,,
81,139,Kushana (English version),,
81,587,Mito (English version),,
81,613,Nausicaä (Voice),,
81,614,Jihl (Voice),,
81,615,Oh-Baba (Voice),,
81,616,Yupa (Voice),,
81,617,Mito (Voice),,
81,618,Goru (Voice),,
81,619,Gikkuri (Voice),,
81,620,Niga (Voice),,
81,621,Teto / Girl C (Voice),,
81,622,Asbel (Voice),,
81,623,Rastel (Voice),,
81,624,Kushana (Voice),,
81,625,Kurotowa (Voice),,
81,626,Commando (Voice),,
81,2387,Yupa (English version),,
81,8291,Nausicaä (English version),,
81,10959,Asbel (English version),,
81,14541,Kurotowa (English version),,
86,675,Michael,,
86,677,Bruno,,
86,678,Christiane,,
86,679,Annabelle,,
86,680,Dr. Schäfer,,
86,681,Jane,,
86,682,Bruno's Father,,
86,683,Yogini,,
86,684,Michael Young,,
86,685,Katja,,
86,688,Annabelle's Father,,
86,692,Johanna,,
86,697,Professor Fleisser,,
86,714,Annabelle's Mother,,
86,1081,Sollers,,
86,4215,Forscher 3,,
86,4620,Hubert,,
86,20021,Krankenhausarzt,,
86,23530,Uwe,,
86,36442,Hippiefrau,,
86,36462,Ellen,,
86,39296,Kursleiter,,
86,39863,Christoffersen,,
86,43156,Hannelore,,
86,43163,Großmutter,,
86,43164,Kates Lover,,
86,43165,Swingerclub-Kerl,,
86,43166,Swingerclub-Frau,,
86,43167,Mann in Plattenbausiedlung,,
86,43168,Forscher 1,,
86,43169,Forscher 2,,
86,43170,Forscher 4,,
99,953,Manuela,,
99,954,Huma,,
99,955,Rosa,,
99,958,Nina,,
99,961,Agrado,,
99,962,Rosa's Mother,,
99,963,Lola,,
99,964,Esteban,,
99,965,Rosa's Father,,
99,3650,Mario,,
99,3651,"Actor ""Doctor""",,
99,3652,Doctor 1,,
99,3653,Doctor 2,,
99,3654,Malena,,
99,3655,Yael,,
102,1017,Cecilie,,
102,1018,Joachim,,
102,1019,Niels,,
102,1021,Stine,,
102,1023,Finn,,
102,1024,Thomsen,,
102,1025,Gustav,,
102,1026,Robert,,
102,4458,Marie,,
102,4459,Hanne,,
103,13,Tom,,
103,380,Travis Bickle,,
103,1032,Man in cab,,
103,1036,Betsy,,
103,1037,Sport' Matthew,,
103,1038,Iris Steensma,,
103,1039,Wizard,,
103,1040,Senator Charles Palantine,,
103,1041,Concession Girl,,
103,1043,Policeman al rally,,
103,2561,"Melio, Delicatessen Owner",,
103,77255,Iris' Time Keeper,,
103,169093,Mafioso,,
103,1274408,Secret Service Agent,,
103,1274409,Tom's Assistant,,
104,677,Manni,,
104,679,Lola,,
104,1081,Lola's Father,,
104,1082,Frau Hansen,,
104,1083,Herr Schuster,,
104,1084,Homeless Man,,
104,1086,Ronnie,,
104,1087,Herr Kruse,,
104,1088,Herr Meier,,
104,3702,Mike,,
104,3703,Mother,,
104,3704,Doris,,
104,3705,Cleaning Person,,
104,3706,Croupier,,
104,3707,Casino Manager,,
104,3708,Ambulance Driver,,
104,16782,Blind Woman,,
104,142653,Frau Jäger,,
105,521,Marty McFly / Marty McFly Jr / Marlene McFly,,
105,1062,Dr. Emmett Brown,,
105,1063,Lorraine Baines McFly,,
105,1064,George McFly,,
105,1065,Biff Tannen,,
105,1066,Jennifer Parker,,
105,1067,Dave McFly,,
105,1068,Linda McFly,,
105,1069,Sam Baines,,
105,1070,Stella Baines,,
105,1072,Mr. Strickland,,
105,1074,Marvin Berry,,
105,1953,3-D,,
105,1954,Match,,
105,3038,Guy #1,,
105,7139,Lou,,
105,9971,1955 Radio Announcer (voice) (uncredited),,
105,11673,Skinhead,,
105,16474,Man driving jeep - 1985,,
105,18708,Dixon,,
105,21065,Scooter Kid #1,,
105,54564,Red Thomas - the Bum,,
105,77874,Bystander #1,,
105,84494,Goldie Wilson,,
105,94500,Milton Baines,,
105,97708,Babs,,
105,97718,Pa Peabody,,
105,99725,Cop,,
105,100600,TV Newscaster (uncredited),,
105,129319,Ma Peabody,,
105,139044,Sally Baines,,
105,158713,Scooter Kid #2,,
105,160343,Bystander #2,,
105,168702,High School Band Audition Judge (uncredited),,
105,172280,Clocktower Lady,,
105,175060,Girl #1,,
105,180468,Pinhead,,
105,184030,Sherman Peabody,,
105,238572,Terrorist,,
105,553735,Student (uncredited),,
105,964124,Pinhead,,
105,1020340,Terrorist Van Driver,,
105,1116544,Betty,,
105,1200788,Daughter Peabody,,
105,1200791,Starlighter,,
105,1200792,Starlighter,,
105,1200793,Starlighter,,
105,1200794,Starlighter,,
105,1200796,Pinhead,,
105,1200797,High School Girl (uncredited),,
108,1137,Julie Vignon,,
108,1138,Olivier,,
108,1139,Sandrine,,
108,1140,Lucille,,
108,1141,La journaliste,,
108,1142,L'agent immobilier,,
108,1145,Karol Karol,,
108,1146,Dominique,,
108,17894,Le médecin,,
108,38170,Patrice,,
108,267962,La mère,,
110,1137,Julie Vignon,,
110,1145,Karol Karol,,
110,1146,Dominique,,
110,1350,Valentine Dussaut,,
110,1352,Richter Joseph Kern,,
110,1354,Karin,,
110,1356,Auguste Bruner,,
110,27983,Le Vétérinaire,,
110,49025,Le photographe,,
112,1181,Jørgen Mortensen,,
112,1182,Giulia,,
112,1183,Karen,,
112,1184,Andreas,,
112,1185,Olympia,,
112,1186,Hal-Finn,,
112,2244,Olympia's Father,,
112,3880,Real Estate Dealer,,
112,3881,Nurse,,
112,3882,Reverend Wredmann,,
112,3883,Woman in Church,,
112,3884,Karen's Mother,,
112,3885,Klaus Graversen,,
112,3887,Marcello,,
112,3888,Church Singer#1 / Sportsman#1,,
112,3889,Church Singer#2 / Sportsman#2,,
112,3890,Lady,,
112,3891,Evening School Teacher,,
113,1188,Adult Monk,,
113,4259,Young Adult Monk,,
113,4261,The Girl,,
113,4262,Child Monk,,
113,4263,The Girl's Mother,,
113,4265,Detective Choi,,
113,4266,The Baby's Mother,,
113,4267,The Baby,,
113,16266,Old Monk,,
113,77180,Detective Ji,,
113,117376,Boy Monk,,
115,53,"Nihilist #1, Uli Kunkel/'Karl Hungus'",,
115,856,Jackie Treehorn,,
115,884,Theodore Donald Kerabatsos,,
115,1229,Jeffrey Lebowski,,
115,1230,Walter Sobchak,,
115,1231,Maude Lebowski,,
115,1232,Jeffrey Lebowski - The Big Lebowski,,
115,1233,Brandt,,
115,1234,Bunny Lebowski,,
115,1235,"Woo, Treehorn Thug",,
115,1236,Blond Treehorn Thug,,
115,1237,"Nihilist #2, Kieffer",,
115,1238,"Nihilist #3, Franz",,
115,1239,Smokey,,
115,1240,Marty,,
115,1241,Jesus Quintana,,
115,1242,"Liam O'Brien, Quintana's Partner",,
115,16431,The Stranger,,
117,380,Al Capone,,
117,738,Jim Malone,,
117,1269,Eliot Ness,,
117,1270,Agent Oscar Wallace,,
117,1271,Agent George Stone/Giuseppe Petri,,
117,1272,Police Chief Mike Dorsett,,
117,1273,Walter Payne,,
117,1274,George,,
117,1275,Frank Nitti,,
117,1276,Catherine Ness,,
117,1277,Bowtie Driver,,
117,1278,Scoop,,
117,1279,Lt. Anderson,,
117,1280,Officer Preseuski,,
128,613,Toki,,
128,622,Ashitaka,,
128,879,Jigo (English Version),,
128,6194,San (English Version),,
128,6613,Lady Eboshi (English Version),,
128,8289,Ashitaka (English Version),,
128,9575,Toki (English Version),,
128,12214,Moro (English Version),,
128,20329,Woman in Iron Town,,
128,20330,San,,
128,20331,Eboshi-gozen,,
128,20332,Jiko-bô,,
128,20333,Kouroku,,
128,20334,Gonza,,
128,20335,Yama-inu,,
128,20336,Tatari-gami,,
128,20337,Usi-kai,,
128,20338,Moro-no-kimi,,
128,20339,Hii-sama,,
128,20340,Okkoto-nusi,,
128,31531,Gonza (English Version),,
128,56348,Kohroku (English Version),,
128,65827,Okkoto (English Version),,
129,19587,Chihiro,,
129,19588,Haku,,
