event_id,title,alternative_title,release_year,certificate,languages,duration,country_of_origin,actors,is_live
60701,We Have a Pope,Habemus Papam,2011,PG,Italian,105,"Italy, France","Michel Piccoli, Nanni Moretti, Renato Scarpa, Jerzy Stuhr",0
60706,Service Entrance,Les femmes du 6eme e,2010,12A,French,106,France,"Carmen Maura, Fabrice Luchini, Natalia Verbeke, Sandrine Kiberlain",0
60709,Robert Mitchum is Dead,Robert Mitchum est mort,2010,15,French,91,France,Andre,0
60713,Home Alone,,1990,PG,English,99,US,"Catherine O’Hara, Daniel Stern, Joe Pesci, John Candy, John Heard, Macaulay Culkin",0
60718,West Side Story,,1961,PG,English,151,US,"Nathalie Wood, Richard Beyme, Rita Moreno, Russ Tamblyn",0
60731,Gilda,,1946,PG,English,110,USA,"Rita Hayworth, Glenn Ford, George Macready",0
60733,Labyrinth,,1986,U,English,101,"US, Great Britain","David Bowie, Jennifer Connelly",0
60755,The Shop Around the Corner,,1940,U,English,98,US,"Frank Morgan, James Stewart, Margaret Sullavan",0
60802,NT Live: The Comedy of Errors,,2012,,English,195,Great Britain,"Claudie Blakely, Lenny Henry, Lucian Msamati",1
61364,White Christmas,,1954,U,English,120,US,"Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen",0
61454,The Girl With The Dragon Tattoo,,2011,18,English,158,"US, Sweden, Great Britain, Germany","Christopher Plummer, Daniel Craig, Robin Wright, Rooney Mara",0
61763,Weekend,,2011,18,English,97,GB,"Chris New, Tom Cullen",0
62667,"Oslo, August 31st",,2011,15,Norwegian,94,Norway,"Anders Borchgrevink, Andreas Braaten, Hans Olav Brenner, Malin Crepin",0
62688,NT Live: Travelling Light,,2012,,English,195,Great Britain,Anthony Sher,1
62703,NT Live: She Stoops To Conquer,,2012,,English,195,Great Britain,"Katherine Kelly, Steve Pemberton, Sophie Thompson",1
63239,Take Shelter,,2011,15,English,121,US,"Michael Shannon, Jessica Chastain, Shea Whigham, Katy Mixon, Kathy Baker",0
63302,This Our Still Life,,2011,12A,English,57,,,0
63428,Sarah Palin: You Betcha!,,2011,12A,English,90,Great Britain,,0
63480,Dreams of a Life,,2011,12A,English,95,UK,"Zawe Ashton, Alix Luka-Cain",0
63570,Mysteries of Lisbon,,2010,PG,Portugese,266,"Portugal, France","Adriano Luz, Maria Jo„o Bastos, Ricardo Pereira, Clotilde Hesme",0
63589,Hawi,The Juggler,2010,12A,Arabic,111,Egypt,"Hanan Youssef, Sherif El Dessouki, Mohamed El Sayed, Fady Iskandar",0
63720,Sigur Rós Presents - Inni,,2011,U,"English, Icelandic",81,"UK, Canada",,0
63980,Shame,,2011,18,English,101,UK,"Michael Fassbender, Carey Mulligan, James Badge Dale",0
64003,You Can’t Take It With You,,1938,U,English,126,US,"Jean Arthur, Lionel Barrymore, James Stewart, Edward Arnold, Mischa Auer, Ann Miller",0
64566,The Iron Lady,,2011,12A,English,105,UK,"Meryl Streep, Jim Broadbent, Richard E. Grant, Olivia Colman",0
64574,The Artist,,2011,PG,Silent,100,France,"Jean Dujardin, Bérénice Bejo, John Goodman, James Cromwell, Malcolm McDowell",0
